site,address,city,zip
Long Valley Health Center,50 Branscomb Road,Laytonville,95454
Point Arena,24000 South Highway 1,Point Arena,95468
Ukiah,1120 South Dora Street,Ukiah,95482
Willits,221 South Lenore Avenue,Willits,95490
Monterey County Department of Health,620 Broadway,King City,93930
Salinas Classroom,632 E Alisal Street,Salinas,93905
Salinas WIC,632 E Alisal Street,Salinas,93905
Seaside WIC,1942 Fremont Boulevard,Seaside,93955
Soledad WIC,355 Gabilan Drive,Soledad,93960
American Canyon City Hall,4381 Broadway Street Suite 100,American Canyon,94503
Calistoga Community Center Calistoga WIC Clinic,1307 Washington Street,Calistoga,94515
First Presbyterian Church,1428 Spring Street,St. Helena,94574
Napa County WIC Program,2344 Old Sonoma Road Building G,Napa,94559
San Benito Health Foundation,351 Felice Drive,Hollister,95023
San Juan Bautista Community Center,301 Alameda Building 3,San Juan Bautista,95045
Chinatown Public Health Center,1490 Mason Street,San Francisco,94133
Ocean Park Health Center,1351 - 24th Avenue,San Francisco,94122
San Francisco General Hospital,"2550 - 23rd Street Building 9, Room 125",San Francisco,94110
Silver Avenue Family Health Center,1525 Silver Avenue,San Francisco,94134
Southeast Health Center,2401 Keith Street,San Francisco,94124
Van Ness Avenue,30 Van Ness Avenue Suite 2118,San Francisco,94102
Atascadero Health Department,5575 Capistrano Avenue,Atascadero,93422
Cambria Veterans Memorial Building,1000 Main Street,Cambria,93428
Grover Beach Health Department,286 South 16th Street Suite B,Grover City,93433
Morro Bay Health Department,760 Morro Bay Boulevard,Morro Bay,93422
Nipomo Community Medical Center,200 East Dana Street,Nipomo,93444
Paso Robles Health Department,723 Walnut Street,Paso Robles,93446
San Luis Obispo Health Department,2180 Johnson Avenue,San Luis Obispo,93401
San Miguel WIC,1383 Mission,San Miguel,93451
Daly City WIC,380 - 90th Street,Daly City,94015
East Palo Alto WIC,2160 Euclid Avenue,East Palo Alto,94303
Half Moon Bay WIC,225 South Cabrillo Hwy 100A,Half Moon Bay,94019
Redwood City WIC,2342 El Camino Real Suite 200,Redwood City,94063
San Mateo WIC,477 9th Avenue Suite 110,San Mateo,94402
South Coast Community WIC North Street Community Center,620 North Street Building 16,Pescadero,94060
South San Francisco WIC SSF Family Health Center,306 Spruce Avenue,South San Francisco,94080
San Jose Medical Plaza Main Office,725 East Santa Clara Street Suite 200,San Jose,95112
VHC Bascom,2406 Clove Drive Building T41,San Jose,95128
VHC East Valley,1993 McKee Road Building EVT1,San Jose,95116
VHC Gilroy,7475 Camino Arroyo,Gilroy,95020
VHC Milpitas,143 North Main Street,Milpitas,95035
VHC Sunnyvale,660 South Fair Oaks Avenue,Sunnyvale,94086
VHC Tully,500 Tully Road,San Jose,95111
Dixon Family Services,155 North Second Street,Dixon,95620
Dixon Migrant Camp,7290 Radio Station Road,Dixon,95620
"Rio Vista Ministry, Inc.",1105 Airport Road Suite A,Rio Vista,94571
SCHSSD - FF Solano County Health And Social Services Department,2101 Courage Drive,Fairfield,94533
SCHSSD - Vacaville Solano County Health And Social Services Department,1119 E Monte Vista Avenue,Vacaville,95688
Solano County Health and Social Services Department (SCHSSD) - Vallejo (VJO),365 Tuolumne Street,Vallejo,94590
Guerneville WIC,16390 Main Street,Guerneville,95446
Petaluma Clinic,11 English Street Room 13,Petaluma,94952
Santa Rosa Clinic,1450 Guerneville Road,Santa Rosa,95403
Sonoma Clinic,19270 Sonoma Highway,Sonoma,95476
Sonoma County Indian Health Department,144 Stony Point Road,Santa Rosa,95401
Fremont WIC,3845 Beacon Avenue Suite A,Fremont,94538
San Leandro WIC,15949 E 14th Street,San Leandro,94578
"Tiburcio Vasquez Health Center, Inc.",32970 Alvarado Niles Road Suite 760,Union City,94587
TVHC - Hayward,22331 Mission Boulevard Second Floor,Hayward,94541
Crescent City - UIHS Indian Lodge,1080 Mason Mall,Crescent City,95531
Eureka,309 Harris Street,Eureka,95503
Fortuna WIC,1426 Main Street,Fortuna,95540
Hoopa Health Association,Airport Road,Hoopa,95546
Klamath - UIHS/Resighini Tribal Clinic,151 East Klamath Beach Road,Klamath,95548
Potawot Health Village,5000 Valley West Boulevard,Arcata,95521
Smith River - Howonquest Tribal Center,300 North Indian Road,Smith River,95546
"United Indian Health Services, Inc",HC 67 Highway 96,Weitchpec,95546
Willow Creek Health Department,3888 Highway 299,Willow Creek,95573
Alameda Point Collaborative,677 West Ranger Avenue,Alameda,94501
Native American Health Center - Oakland,3124 International Boulevard Room 103,Oakland,94601
Native American Health Center - San Francisco,160 Capp Street,San Francisco,94103
"East Oakland Health Council, Inc.",7450 East 14th Street,Oakland,94621
"West Oakland Health Council, Inc.",700 Adeline Street,Oakland,94607
Chico,2491 Carmichael Drive Suite 400,Chico,95928
Chico NVIH,845 West East Avenue,Chico,95926
Feather River Hospital,5125 Skyway,Paradise,95969
Gridley,200 East Spruce Street,Gridley,95948
Oroville,82 Table Mountain Boulevard,Oroville,95965
Willows NVIH,201 North Butte Street,Willows,95988
Chowchilla,405 Trinity Avenue,Chowchilla,93610
Madera,14215 Road 28,Madera,93638
Oakhurst,40325 Highway 41,Oakhurst,93644
34th Street Neighborhood Health Center,2000 Physicians Plaza,Bakersfield,93301
Arvin Community Health Center,1305 Bear Mountain Boulevard,Arvin,93203
Arvin WIC,601 Bear Mountain Boulevard,Arvin,93203
Bakersfield College,1801 Panorama Drive,Bakersfield,93305
Benton Park WIC Office,2519 South H Street,Bakersfield,93304
Central Bakersfield Community Health Center,301 Nrundage,Bakersfield,93304
Delano Community Health Center,1508 Garces Highway,Delano,93215
East Bakersfield Community Health Center,"815 Dr. Martin Luther King, Jr. Boulevard",Bakersfield,93307
Elm Community Health Center WIC,2790 S. Elm Avenue,Fresno,93706
Family Health Center WIC,1611 First Street,Bakersfield,93304
Frazier Mountain Community Health Center,704 Lebec Road,Lebec,93243
Greenfield WIC,403 Boomerang Drive,Bakersfield,93307
Kern River Health Center,67 Evans Road,Wofford Heights,93285
Kern Valley Medical Group,6310 Lake Isabella Boulevard,Lake Isabella,93240
Lamont Community Health Center,8787 Hall Road,Lamont,93241
Maganda WIC,312 Austin,Delano,93215
Mcfarland Community Health Center,209 West Kern Avenue,Mcfarland,93250
McFarland WIC,106 - 11th Street,McFarland,93250
Mount Vernon,2509 Mount Vernon Avenue,Bakersfield,93306
North Bakersfeild WIC Office,2525 North Chester Avenue,Bakersfeild,93308
Orange & Butler Community Health Center WIC,1350 S. Orange Avenue,Fresno,93702
Rosedale WIC Office,10727 Rosedale Highway,Bakersfield,93312
Sagebrush WIC,1111 Columbus St.,Bakersfield,93305
South Bakersfield Community Health Center,2400 Wible Road Suite 14,Bakersfield,93304
Southwest WIC Office,4621 American Avenue Units A & B,Bakersfield,93309
"Taft WIC Program - ""The Fort""",915 North 10th Street Suite 12,Taft,93268
Union Avenue WIC,701 Union Avenue,Bakersfield,93307
West Fresno Community Health Center WIC,302 Fresno Street Suite 200,Fresno,93706
West Shaw Community Health Center WIC,4739 West Shaw Avenue Suite #110,Fresno,93711
DHC - Northeast,7908 N. West Lane Suite 201,Stockton,95210
DHC - Sierra Vista,1604 East Eleventh Street,Stockton,95206
DHC Edison Health Center,1425 South Center Street,Stockton,95026
DHC Lodi,318 South Crescent Avenue,Lodi,95240
DHC Stockton Main,4662 Precissi Lane,Stockton,95207
Ashlan/West,1426 W. Ashlan Avenue,Fresno,93705
Downtown Executive Plaza / Heart,1920 Mariposa Mall Suite 120,Fresno,93721
Downtown Executive Plaza/Flower,1920 Mariposa Mall Suite 120,Fresno,93721
Downtown Executive Plaza/Star,1920 Mariposa Mall Suite 120,Fresno,93721
East Shaw,1551 E Shaw Suite 128,Fresno,93710
First Street WIC,3636 North First Street Suite 132,Fresno,93726
Kings Canyon,4995 E. Kings Canyon Suite 101,Fresno,93727
Roosevelt,4403 E Tulare St,Fresno,93702
Adelanto,11366 Bartlett Suites 13 & 14,Adelanto,92301
American Indian Health Project,1617 30th Street,Bakersfield,93301
Arvin WIC,204 S. Hill Street,Arvin,93203
Bakersfield High School,1600 East Truxton Avenue,Bakersfield,93305
Bakersfield WIC,500 East California Avenue,Bakersfield,93307
Boron Community Recreation Building WIC Clinic,26904 Nichols Street,Boron,93516
Buttonwillow WIC Clinic,277 East Front Street,Buttonwillow,93206
California City,8070 California City Boulevard,California City,93505
China Lake Naval Weapons Center Family Support Services,610 Blandy Building,China Lake,93505
Delano MESC,1201 Jefferson Street,Delano,93215
Delano VFW Hall,1025 Garces Highway,Delano,93215
Edwards Air Force Base,Airmen & Family Resource Center 412 FSS/FSFR90,Lost Hills,93249
Food Bank,2424 Cottonwood Road,Bakersfield,93307
KCEOC Medical Center,1611 First Street,Bakersfield,93304
Lamont,10318 Main Street,Lamont,93241
Lost Hills Paramount Park,Corner of Lost Hills Road and Highway 46,Lost Hills,93249
Mojave Veterans Of Foreign Wars Hall,15580 O Street,Mojave,93501
Northeast WIC Office,5913 # 3 Niles Street,Bakersfield,93306
Oildale Good Samaritan Hospital,525 Roberts Lane,Bakersfield,93308
Panama,4600 Panama Lane Road,Bakersfield,93313
Ridgecrest WIC Center,814 Norma,Ridgecrest,93555
Rosamond Parks & Recreation Building,2861 Diamond Street,Rosamond,93560
Shafter WIC,320 James Street,Shafter,93263
Tehachapi,108 S. Robinson,Tehachapi,93561
Wasco Medical Center,741 Palm Building E,Wasco,93280
WIC Mobile,500 E. California Avenue Actual locations will vary,Bakersfield,93305
Avenal Clinic,590 Skyline Boulevard,Avenal,93204
Corcoran Center,1002 Dairy Avenue,Corcoran,93212
Kettleman City Clinic,124 Becky Pease Road,Kettleman City,93239
Kings County Department of Public Health WIC Program,330 N Harris Street #103,Hanford,93230
Lemoore Health Center,229 C Street,Lemoore,93245
Atwater WIC Program,1160-1170 3rd Street,Atwater,95301
Coulterville WIC Old School House,5043 Broadway,Coulterville,95311
Dos Palos WIC,1813 Blossom Street,Dos Palos,93620
El Portal,100 Foresta Road,El Portal,95318
Greeley Hill WIC Program,10332 Fiske Road,Greeley Hill,95311
Gustine WIC,399 Sixth Street,Gustine,95322
Hilmar WIC,20056 West American Avenue,Hilmar,95324
Livingston WIC,2335 F Street,Livingston,95334
Los Banos WIC,340 I Street,Los Banos,93635
Mariposa WIC,5074 Hwy 49 N Suite D,Mariposa,95338
Merced WIC and Administrative Offices,1235 West Main Street,Merced,95340
Mercy Hospital - WIC Program,2740 M Street,Merced,95340
Planada WIC,9222 East Broadway,Planada,95365
Sutter Merced Medical Center - WIC Program,"301 East 13th Street 1St Floor, East Wing",Merced,95340
Clearlake WIC,15312 Lakeshore Drive,Clearlake,95422
E-Center Lakeport,831 Bevins Street,Lakeport,95453
Lucerne Lutheran Church WIC Office,3863 Country Club Drive,Lucerne,95458
Middletown,15833 Armstrong,Middletown,95461
Herlong Community Center,100 Tamarack Avenue,Herlong,96113
Newell WIC Program Basin Bible Church,5th And Glendale Streets,Newell,96134
"Northeastern Rural Health Clinics, Inc.",106 East Modoc Street,Alturas,96101
Susanville - Main Office,1410 Chestnut Street,Susanville,96130
Susanville Rancheria,795 Joaquin Street,Susanville,96130
Veterans Memorial Hall,657-575 Bridge Street,Bieber,96009
Westwood Community Center,3rd And Birch Street,Westwood,96137
Placer County Department of Health and Human Services,427 'A' Street,Lincoln,95648
Placer County DHHS WIC Program,11562 B Avenue,Auburn,95603
Rocklin,1000 Sunset Boulevard Suite 150,Rocklin,95765
Tahoe Site,265 Bear Street,Kings Beach,96143
Elk Grove Light of the Valley Church,9270 Bruceville Road,Elk Grove,95758
Folsom WIC Office Mercy Village Folsom Housing,1160 Duchow Way,Folsom,95630
Grand Avenue Office,811 Grand Avenue Suite A-1,Sacramento,95838
Oak Park WIC Office,3415 Martin Luther King Jr. Boulevard,Sacramento,95817
Old Town Elk Grove (OEG),8986 Elk Grove Boulevard,Sacramento,95624
Rancho Cordova Neighborhood Center,10665 Coloma Road (At Coloma And Mcgregor),Rancho Cordova,95670
Sacramento County WIC Program Main Office,2251 Florin Road (24th And Florin) Suite 100,Sacramento,95822
Coalition United for Families ( CUFF ),2044 Fair Street,Stockton,95206
Family Health Center WIC,1414 North California Street,Stockton,95204
Family Ties,500 West Hospital Road,FrenchCamp,95231
Railroad Square,620 North Aurora Street,Stockton,95202
San Joaquin County Public Health Services - Manteca,124 Sycamore Lane,Manteca,95336
San Joaquin County Public Health Services - Tracy,205 West 9th Street,Tracy,95376
Taylor Family Center,1101 Lever Boulevard,Stockton,95206
Transcultural Clinic,4422 North Pershing Avenue Suite D-5,Stockton,95207
Anderson WIC,2889 East Center Street,Anderson,96007
Burney WIC Program,36911 Main Street,Burney,96013
Downtown Redding Center WIC,1220 Sacramento Street,Redding,96001
McArthur WIC,44218 A Street Inter Mountain Fair Grounds,McArthur,96056
Shasta Lake WIC,4216 Shasta Dam Boulevard,Shasta Lake City,96019
Shingletown WIC Black Butte Elementary School,7752 Ponderosa Way Room 19,Shingletown,96088
Live Oak,2670 Myrtle Street,Live Oak,95953
Richland Migrant Center,479 Bernard Drive Unit G1,Yuba City,95991
Sutter County Health Department,1445 Veterans Memorial Circle,Yuba City,95993
Dinuba WIC,1433 East El Monte,Dinuba,93618
Earlimart WIC,728 East Washington Street,Earlimart,93219
Farmersville WIC,175 East Front Street,Farmersville,93223
Lindsay WIC,248 North Highway 65,Lindsay,93247
Orosi WIC,40802 Road 128,Orosi,93647
Porterville WIC,"1055 West Henderson Suite 5, Government Center South",Porterville,93257
Tulare WIC,458 E. O'Neal,Tulare,93274
Visalia,1819 N. Dinuba Boulevard,Visalia,93291
Woodlake,250 East Antelope Suite F,Woodlake,93286
Coalinga,1510 Falcon Way,Coalinga,93210
Easton,5716 South Elm Street,Easton,93706
FCC WIC,1853 McKinley Avenue,Fresno,93703
Huron,16928 - 11th Avenue,Huron,93234
Kerman,642 South Madera Avenue,Kerman,93630
Marks,2482 N. Marks Avenue,Fresno,93722
Mendota,121 Barboza Street,Mendota,93640
Parlier,490 Fresno Street Suite B,Parlier,93648
Pinedale,58 E. Herndon Avenue,Fresno,93720
Reedley,1560 East Manning Avenue,Reedley,93654
Riverdale,20949 Malsbary Avenue,Riverdale,93656
Sanger,2652 Jensen Avenue,Sanger,93657
Selma,2701 Whitson Street,Selma,93662
Tarpey,1840 Ashlan Avenue,Clovis,93611
UHCSJV-Orange Cove,765 Anchor Avenue Suite F,Orange Cove,93646
Davis Community Clinic,600 'A' Street,Davis,95616
Knights Landing Family Resource Center,42351 Third Street,Knights Landing,95645
West Sacramento,500 Jefferson Boulevard Building B,West Sacramento,95605
Winters Library,111 E Grant Avenue,Winters,95694
Yolo County WIC Program,137 North Cottonwood Street Suite 1200,Woodland,95695
Groveland Coummnity Hall,18990 Highway 120,Groveland,95321
Tuolumne City Branch Library,18375 Fir Street,Tuolumne,95379
Tuolumne County WIC Program,20111 Cedar Road North,Sonora,95370
College of the Siskiyous,800 College Avenue,Weed,96094
Dorris City Hall,307 South Main Street,Dorris,96023
Dunsmuir Community Center,4835 Dunsmuir Avenue,Dunsmuir,96025
Fort Jones Community Hall,11960 East Street,Fort Jones,96032
Happy Camp Grange Hall,64501 Second Avenue,Happy Camp,96039
Mt. Shasta Public Health Department,1107 Ream Avenue,Mt. Shasta,96067
Siskiyou County Public Health Department,808 S. Main Street,Yreka,96097
Tulelake Fairgrounds,810 Main Street,Tulelake,96134
Administration Office,430 Sutter Hill Road,Sutter Creek,95685
Calaveras Grange Hall / Faith Fellowship Church,376 Russels Road,San Andreas,95249
CBC Hall,22283 Highway 26,West Point,95255
Faith Lutheran Church - Pioneer,22601 Highway 88,Pioneer,95666
Food Bank,206 George Reed Drive,San Andreas,95249
Ione-Memorial Hall,207 S. Amador Street,Ione,95640
Jackson American Legion Hall,12134 Airport Road,Sutter Creek,95685
Lake Tulloch Bible Church,3566 Spangler Lane,Copperopolis,95228
Mt. Zion Church,13891 Cedar Pine Lane,Pine Grove,95665
Murphy's,509 N. Algiers Street,Murphys,95247
Oak Circle Church - Arnold,1483 Oak Circle,Arnold,95223
Plymouth City Hall,9426 Main Street,Plymouth,95669
St. Patricks Church,809 N. Main Street,Angels Camp,95222
Vets Memorial Hall,189 Pine Street,Valley Springs,95249
Grass Valley,471 Sutton Way Suite 204,Grass Valley,95945
Nevada County Public Health Department,10075 Levone Avenue Suite 202,Truckee,96161
Community Hall,22 Maiden Lane,Downieville,95936
Sierra County Human Services,202 Front Street,Loyalton,96118
Ceres Medical Office,1424 Mitchell Road,Ceres,95307
Modesto WIC Program Community Services Agency,251 E. Hackett Road,Modesto,95358
Oakdale WIC Program,"1405 West ""F"" Street",Oakdale,95361
Patterson WIC Program,118 North Second Street Suite D,Patterson,95363
Turlock WIC Program,1125 North Golden State Suites A & B,Turlock,95380
Waterford Head Start Program,325 D Street #2,Waterford,95386
Almanor Basin Parks & Rec,102 Meadowbrook Loop,Chester,96020
Greenville,430 Main Street,Greenville,95947
Plumas Rural Services WIC Quincy,711 East Main Street,Quincy,95971
Portola,171 Nevada Street,Portola,96122
Arbuckle Family Health Center,89 Putnam Way,Arbuckle,95912
Beale Air Force Base - Family Support Center 9MSS/MSF,17800 - 13th Street Suite 400,Beale Air Force Base,95903
Colusa WIC Clinic,515 Fremont Street,Colusa,95932
Lindhurst Family Health Center,4949 Olivehurst Avenue,Olivehurst,95961
Marysville WIC,1114 Yuba Street Suite 217,Marysville,95901
Oregon House WIC,8676 Marysville Road,Oregon House,95962
Alpine County Department of Social Services,75 Diamond Valley Road,Markleeville,96120
El Dorado County Department of Human Services,1360 Jonhson Boulevard,South Lake Tahoe,96150
El Dorado County Department Of Human Services,937 Spring Street,Placerville,95667
Georgetown Community Facility,6329 Lower Main Street,Georgetown,95634
Pioneer Park,6740 Fairplay,Somerset,95684
Pollock Pines Community Church,6361 Pony Express Trail,Pollock Pines,95726
White Rock Village Apartments,2200 Valley View Parkway,El Dorado Hills,95762
41st Avenue Office,3821 41st Avenue,Sacramento,95824
Citrus Heights WIC,7640 Greenback Lane,Citrus Heights,95610
"Community Resource Project, Inc",1440 Ethan Way,Sacramento,95825
"Community Resource Project, Inc.",602 C Street Suite 300,Galt,95632
Elk Grove,8231 East Stockton Boulevard Suite B,Sacramento,95828
Fruitridge WIC,8031 Fruitridge Road Suite D,Sacramento,95820
Main WIC Office,915 Broadway Suite 1,Sacramento,95818
North Highlands Clinic,5655 Hillsdale Boulevard #1,North Highlands,95842
Walnut Grove Office,14181 Grove Street,Walnut Grove,95690
Channel Medical Center WIC,701 East Channel,Stockton,95202
Community Medical Center WIC,425 North California Street # 7,Stockton,95202
Eastland Plaza WIC,678 North Wilson Way Suite 16,Stockton,95205
Esparto Family Practice,17050 South Grafton Street,Esparto,95627
Martin Luther King Jr. School,2640 East Lafayette Street,Stockton,95202
Tracy Family Practice,738 North Central,Tracy,95376
Tracy Family Practice WIC,73 E. 10th Street,Tracy,95376
Woodbridge Medical Group,2401 West Turner Road #470,Lodi,95252
Hayfork Community Center,154 Tule Creek Road,Hayfork,96041
WIC Office,51 Industrial Parkway Building 1,Weaverville,96093
Orland Admin Site and Clinic,345 Yolo Street,Orland,95963
Sycamore Family Center,1035 West Wood Street,Willows,95988
Corning Health Care District WIC,275 Solano Street,Corning,96021
Walnut Street Complex,1850 Walnut Street Suite H,Red Bluff,96080
Branch Medical Clinic Family Service Center Building 263,32Nd Street Naval Station,San Diego,92136
Camp Pendleton Marine Corps Base Mainside,Building 1131,Camp Pendleton,92055
El Cajon WIC Office,564 North Second Street,El Cajon,92020
Euclid Health Center WIC Office,292 Euclid Avenue Suite 225,San Diego,92114
Lakeside Community Center,9841 Vine Street,Lakeside,92040
Lemon Grove WIC Office,7034 Broadway Avenue,Lemon Grove,91945
Linda Vista WIC Office,7612 Linda Vista Road Suite #111,San Diego,92111
Marine Corp Air Station,MCAS Chapel Building 5632,Miramar,92145
Marine Corps Recruit Depot (MCRD),3800 Chosin Avenue Bldg. 7 West,San Diego,92140
Mesa Margarita Community Center San Luis Rey Valley Resource Center,5306 N River Road,Oceanside,92057
Murphy Canyon Housing Chapel of Light,4867 Santo Road,San Diego,92124
Oceanside WIC Office,"1906 Oceanside Boulevard T, U, V",Oceanside,92054
Poway Community-Center Auditorium,13094 Civic Center Drive,Poway,92064
San Onofre San Onofre Community Center,Marine Corps Base Building 51919,Camp Pendleton,92055
Spring Valley WIC Office,"8810 Jamacha Boulevard Suites D, E, & F",Spring Valley,91977
University WIC Clinic,5821 University Avenue,San Diego,92115
Inland Family Community Health Center,665 North 'D' Street,San Bernardino,92401
Whitney Young Family Health Clinic WIC,1755 Maple Street,San Bernardino,92411
Brawley WIC,"561 ""E"" Street",Brawley,92227
Calexico WIC,2451 Rockwood Avenue Suite 109 (El Paseo Shopping Center),Calexico,92231
El Centro WIC Clinic,2600 Thomas Drive,El Centro,92243
Niland Clinic,8027 Highway 111,Niland,92257
West Shores WIC,1289 South Marina Drive Suite A,Salton City,92275
Winterhaven Satellite Site,676 Baseline Road Suite 306,Winterhaven,92283
Burbank WIC,930 W. Alameda Avenue,Burbank,91505
Canoga Park,21013 Sherman Way,Canoga Park,91303
Canyon Country,26974 Rainbow Glen Drive,Santa Clarita,91351
Glendale WIC,801 South Chevy Chase Drive Suite 40,Glendale,91205
Mobile Medical Van,Mobile Unit,0,0
NEVHC Pacoima Health Center WIC,12756 Van Nuys Boulevard,Pacoima,91331
NEVHC Santa Clarita Health Center,18533 Soledad Canyon Road,Canyon Country,91351
NEVHC Sun Valley Health Center,7223 Fair Avenue,Sun Valley,91352
NEVHC Valencia Health Center,23763 Valencia Boulevard,Valencia,91355
Newhall,23630 Newhall Road,Newhall,91321
North Hollywood,6420 Bellingham Avenue,North Hollywood,91605
Pacoima WIC,13631 Van Nuys Boulevard,Pacoima,91331
Panorama City,8215 Van Nuys Boulevard Suite 100,Panorama City,91402
Reseda WIC,18341 Sherman Way Suite 108,Reseda,91335
Sun Valley WIC,8132 Sunland Boulevard,Sun Valley,91352
Sunland/Tujunga WIC,8828 Fenwick Street,Sunland,91040
Sylmar/San Fernando,1161 N. Maclay Avenue Suite B,San Fernando,91340
Van Nuys WIC,7138 Van Nuys Boulevard,Van Nuys,91406
Bridgeport Health Department,221 Twin Lakes Road,Bridgeport,93517
June Lake Community Center,90 West Granite,June Lake,93529
Lee Vining Community Center,296 Mattly Avenue,Lee Vining,93541
Marine and Family Services Building,700 Champagne Avenue,Coleville,96107
Mono County Health Department,437 Old Mammoth Road Suite Q,Mammoth Lakes,93546
Walker Community Center,442 Mule Deer Avenue,Walker,96107
Independence,155 East Market Street,Independence,93526
Inyo County Department Of Health And Human Services,568 W. line Street,Bishop,93514
Inyo County Department Of Health And Human Services,Tecopa County Building Suite 2,Tecopa,92389
Lone Pine WIC Statham Hall,138 Jackson Street,Lone Pine,93545
Central Facilities Center,1133 Rhea Street,Long Beach,90806
City of Long Beach Department of Health and Human Services,2525 Grand Avenue,Long Beach,90815
City of Long Beach North Service Center,5166 Atlantic Avenue,Long Beach,90805
St. Mary's Physician Center,1043 Elm Avenue Suite 401,Long Beach,90813
West Facilities Center,2125 Santa Fe Avenue,Long Beach,90810
Linda Vista Family Care,6963 Linda Vista Road,San Diego,92111
Paradise Valley Wellness Center,2345 E 8th Street Suite 100,National City,91950
Scripps Mercy City Heights,4440 Wightman Street Suite 200,San Diego,92105
Scripps Mercy WIC Chula Vista,251 Palomar Street Suite C,Chula Vista,91911
WIC Administration Office,3660 7th Avenue 2nd Floor,San Diego,92103
Borrego Springs,1315 Palm Canyon Road,Borrego Springs,92004
Encinitas,285 North El Camino Real Suite 111,Encinitas,92024
Escondido,649 West Mission Avenue Suite 7,Escondido,92025
Mission Mesa,2210 Mesa Drive Suite 2,Oceanside,92054
North Park WIC,3078 El Cajon Boulevard Suite 100,San Diego,92104
Ramona,1721 Main Street Suite 110,Ramona,92065
San Marcos,150 Valpreda Road Suite 102,San Marcos,92069
Valley Center Community Service,28246 Lilac Road,Valley Center,92082
Access California Services WIC,631 S Brookhurst Street Suite 107,Anaheim,92804
Ball Road WIC,2137 East Ball Road,Anaheim,92806
Buena Park WIC,6301 Beach Boulevard # 103,Buena Park,90621
County of Orange HCA WIC,1725 West 17th Street Room 101 G,Santa Ana,92706
Danbrook Family Resource Center WIC,320 South Danbrook Street,Anaheim,92804
El Modena Family Resource Center WIC,18672 East Center Street,Orange,92869
Hemlock WIC,1220 Hemlock Way,Santa Ana,92707
Independencia Community Center,10841 Garza Avenue,Anaheim,92804
Ponderosa Park Family Resource Center WIC,2100 South Haster Street,Anaheim,92802
Warwick Square Learning and Resource Center WIC,780 South Lyon Street,Santa Ana,92705
West/Beach WIC,14120 Beach Boulevard,Westminister,92683
Pasadena Community Health Center,1845 North Fair Oaks Ave,Pasadena,91103
Villa Parke Community Center,363 East Villa Street,Pasadena,91101
Bell Gardens WIC Site,6501 South Garfield Avenue,Bell Gardens,90201
Central Ave WIC,4150 South Central Avenue,Los Angeles,90011
Compton WIC Site,130 East Compton Boulevard,Compton,90221
Cudahy WIC Site,7272 Atlantic Boulevard,Cudahy,90201
Figueroa Wic Site,4101 South Figueroa Street,Los Angeles,90037
Florence WIC Site,501 East Florence Avenue,Los Angeles,90003
Huntington Park WIC,7022 Rugby Avenue,Huntington Park,90255
Lynwood WIC Site,3811 Martin Luther King Jr. Boulevard,Lynwood,90262
